"","occ_abs","lon_dd","lat_dd"
"1",1,-48.410084079389,-27.1797340081327
"2",1,-48.3665065892001,-27.2749287403201
"3",1,-48.3743224491872,-27.2775747345866
"4",1,-48.3734726779517,-27.2833704797203
"5",1,-48.3680585666064,-27.2905502833934
"6",1,-48.3668246173571,-27.295053562097
"7",1,-48.3609932530698,-27.2955725840492
"8",1,-48.3309802998345,-27.2709635652583
"9",0,-48.3679326274561,-27.4245431786259
"10",0,-48.3646658422271,-27.4872634196427
"11",0,-48.3577557264312,-27.4849125555059
"12",0,-48.480365524815,-26.3696718523364
"13",0,-48.4828450293524,-26.3868792375112
"14",0,-48.5840661320394,-26.5278189379629
"15",0,-48.5605206165904,-26.5364955696602
"16",0,-48.4729269987763,-27.1215945927133
"17",0,-48.471873240968,-27.1100032568222
"18",0,-48.471873240968,-27.10210007326
"19",0,-48.4745076354887,-27.1337128075087
"20",0,-48.4587719892718,-27.1376519367069
"21",0,-48.4686267361503,-27.2051401879403
"22",0,-48.4063229203866,-27.1837655909711
"23",0,-48.4359796156232,-27.3910272923206
"24",0,-48.4203049682248,-27.3828606693063
"25",0,-48.3866011833253,-27.6095503178148
