X,Y,id,occ_abs
-48.410084079389,-27.1797340081327,1,1
-48.3665065892001,-27.2749287403201,2,1
-48.3743224491872,-27.2775747345866,3,1
-48.3785255093106,-27.2785262748324,4,1
-48.3785713053652,-27.2788112280611,5,1
-48.3784542710034,-27.2788468472147,6,1
-48.3734726779517,-27.2833704797203,7,1
-48.3707808876306,-27.2843321968672,8,1
-48.3698802318899,-27.2864184615773,9,1
-48.3680585666064,-27.2905502833934,10,1
-48.3679720629477,-27.2908403250727,11,1
-48.3675955176097,-27.2912982856188,12,1
-48.3675548100056,-27.2914407622331,13,1
-48.3671706319919,-27.2922192951615,14,1
-48.3668246173571,-27.295053562097,15,1
-48.3609932530698,-27.2955725840492,16,1
-48.3601892778888,-27.2971500037081,17,1
-48.3309802998345,-27.2709635652583,18,1
-48.332384712176,-27.2729887685622,19,1

